Model,Scenario,Policy_category,Policy_category_name
WITCH 5.0,CO_GPP,P1d,P1d: Other policies
COFFEE 1.0,CO_GPP_notax,P1d,P1d: Other policies
POLES GECO2019,CO_GPP_notax,P1d,P1d: Other policies
MESSAGEix-GLOBIOM_1.0,CO_NDCMCS,P1c,P1c: NDC
POLES GECO2019,CO_NDCMCS,P1c,P1c: NDC
PROMETHEUS 1.0,CO_NDCMCS,P1c,P1c: NDC
MESSAGEix-GLOBIOM_1.0,CO_NDC_2050convergence,P1c,P1c: NDC
POLES GECO2019,CO_NDC_2050convergence,P1c,P1c: NDC
WITCH 5.0,CO_NDC_2050convergence,P1c,P1c: NDC
AIM/CGE 2.1,CO_NDCplus,P1c,P1c: NDC
COFFEE 1.0,CO_NDCplus,P1c,P1c: NDC
COFFEE 1.1,CO_NDCplus,P1c,P1c: NDC
IMAGE 3.0,CO_NDCplus,P1c,P1c: NDC
MESSAGEix-GLOBIOM_1.0,CO_NDCplus,P1c,P1c: NDC
POLES GECO2019,CO_NDCplus,P1c,P1c: NDC
PROMETHEUS 1.0,CO_NDCplus,P1c,P1c: NDC
REMIND-MAgPIE 1.7-3.0,CO_NDCplus,P1b,P1b: Current policies
TIAM-Grantham 3.2,CO_NDCplus,P1c,P1c: NDC
WITCH 5.0,CO_NDCplus,P1c,P1c: NDC
GCAM 4.0,Core baseline,P1a,P1a: Baseline
TIAM-WORLD 1.0,Core baseline,P1a,P1a: Baseline
GCAM 5.2,"Current policies (Hot house world, Rep)",P1b,P1b: Current policies
MESSAGEix-GLOBIOM 1.0,"Current policies (Hot house world, Rep)",P1b,P1b: Current policies
REMIND-MAgPIE 1.7-3.0,"Current policies (Hot house world, Rep)",P1b,P1b: Current policies
MERGE-ETL 6.0,DAC15_50,P???,P???: Unknown
MERGE-ETL 6.0,DAC2_66,P???,P???: Unknown
HEB 2.0,Deep,P???,P???: Unknown
REMIND 2.1,DeepElec_SSP2_ HighRE_Budg1100,P2a,P2: Immediate global action without trade
REMIND 2.1,DeepElec_SSP2_ HighRE_Budg1300,P2a,P2: Immediate global action without trade
REMIND 2.1,DeepElec_SSP2_ HighRE_Budg900,P2a,P2: Immediate global action without trade
REMIND 2.1,DeepElec_SSP2_Base,P1a,P1a: Baseline
REMIND 2.1,DeepElec_SSP2_NDC,P1c,P1c: NDC
REMIND 2.1,DeepElec_SSP2_NPi,P1b,P1b: Current policies
REMIND 2.1,DeepElec_SSP2_def_Budg1100,P2a,P2: Immediate global action without trade
REMIND 2.1,DeepElec_SSP2_def_Budg1300,P2a,P2: Immediate global action without trade
REMIND 2.1,DeepElec_SSP2_def_Budg900,P2a,P2: Immediate global action without trade
MESSAGEix-GLOBIOM 1.0,"Delayed 2C with CDR (Disorderly, Alt)",P3a,P3a: Delayed global action
REMIND-MAgPIE 1.7-3.0,"Delayed 2C with CDR (Disorderly, Alt)",P3b,P3b: NDC + Delayed global action
REMIND-MAgPIE 1.7-3.0,"Delayed 2C with limited CDR (Disorderly, Rep)",P3b,P3b: NDC + Delayed global action
REMIND-MAgPIE 2.0-4.1,Diff_1300Gt_hybrid_def,P2,P2: Immediate global action
REMIND-MAgPIE 2.0-4.1,Diff_1300Gt_no-transfer_def,P2,P2: Immediate global action
REMIND-MAgPIE 2.0-4.1,Diff_1300Gt_uniform-pricing_def,P2,P2: Immediate global action
REMIND-MAgPIE 2.0-4.1,Diff_No-policy_baseline,P1a,P1a: Baseline
GAINS-dw4,ECLIPSEv6b_CLE,P???,P???: Unknown
GAINS-dw4,ECLIPSEv6b_MFR,P???,P???: Unknown
REMIND-Buildings 2.0,EG,P???,P???: Unknown
REMIND 1.5,EMC_Def_100$,P2,P2: Immediate global action
REMIND 1.5,EMC_Def_30$,P2,P2: Immediate global action
REMIND 1.5,EMC_LimSW_100$,P2,P2: Immediate global action
REMIND 1.5,EMC_LimSW_30$,P2,P2: Immediate global action
REMIND 1.5,EMC_NucPO_100$,P2,P2: Immediate global action
REMIND 1.5,EMC_NucPO_30$,P2,P2: Immediate global action
REMIND 1.5,EMC_lowEI_100$,P2,P2: Immediate global action
REMIND 1.5,EMC_lowEI_30$,P2,P2: Immediate global action
AIM/CGE 2.0,EMF30_BCOC-EndU,P1d,P1d: Other policies
DNE21+ V.14E1,EMF30_BCOC-EndU,P1d,P1d: Other policies
ENV-Linkages 3.0,EMF30_BCOC-EndU,P1d,P1d: Other policies
GCAM 4.2,EMF30_BCOC-EndU,P1d,P1d: Other policies
IMAGE 3.0.1,EMF30_BCOC-EndU,P1d,P1d: Other policies
MESSAGE-GLOBIOM 1.0,EMF30_BCOC-EndU,P1d,P1d: Other policies
POLES EMF30,EMF30_BCOC-EndU,P1d,P1d: Other policies
REMIND 1.6,EMF30_BCOC-EndU,P1d,P1d: Other policies
WITCH-GLOBIOM 4.2,EMF30_BCOC-EndU,P1d,P1d: Other policies
AIM/CGE 2.0,EMF30_Baseline,P1a,P1a: Baseline
DNE21+ V.14E1,EMF30_Baseline,P1a,P1a: Baseline
ENV-Linkages 3.0,EMF30_Baseline,P1a,P1a: Baseline
GCAM 4.2,EMF30_Baseline,P1a,P1a: Baseline
IMAGE 3.0.1,EMF30_Baseline,P1a,P1a: Baseline
MESSAGE-GLOBIOM 1.0,EMF30_Baseline,P1a,P1a: Baseline
POLES EMF30,EMF30_Baseline,P1a,P1a: Baseline
REMIND 1.6,EMF30_Baseline,P1a,P1a: Baseline
WITCH-GLOBIOM 4.2,EMF30_Baseline,P1a,P1a: Baseline
AIM/CGE 2.0,EMF30_CH4-Only,P1d,P1d: Other policies
DNE21+ V.14E1,EMF30_CH4-Only,P1d,P1d: Other policies
ENV-Linkages 3.0,EMF30_CH4-Only,P1d,P1d: Other policies
GCAM 4.2,EMF30_CH4-Only,P1d,P1d: Other policies
IMAGE 3.0.1,EMF30_CH4-Only,P1d,P1d: Other policies
MESSAGE-GLOBIOM 1.0,EMF30_CH4-Only,P1d,P1d: Other policies
POLES EMF30,EMF30_CH4-Only,P1d,P1d: Other policies
REMIND 1.6,EMF30_CH4-Only,P1d,P1d: Other policies
WITCH-GLOBIOM 4.2,EMF30_CH4-Only,P1d,P1d: Other policies
AIM/CGE 2.0,EMF30_ClimPolicy,P2,P2: Immediate global action
DNE21+ V.14E1,EMF30_ClimPolicy,P2,P2: Immediate global action
ENV-Linkages 3.0,EMF30_ClimPolicy,P2,P2: Immediate global action
GCAM 4.2,EMF30_ClimPolicy,P2,P2: Immediate global action
IMAGE 3.0.1,EMF30_ClimPolicy,P2,P2: Immediate global action
MESSAGE-GLOBIOM 1.0,EMF30_ClimPolicy,P2,P2: Immediate global action
POLES EMF30,EMF30_ClimPolicy,P2,P2: Immediate global action
REMIND 1.6,EMF30_ClimPolicy,P2,P2: Immediate global action
WITCH-GLOBIOM 4.2,EMF30_ClimPolicy,P2,P2: Immediate global action
AIM/CGE 2.0,EMF30_ClimPolicy+SLCF,P2c,P2: Other policies + Immediate global action
DNE21+ V.14E1,EMF30_ClimPolicy+SLCF,P2c,P2: Other policies + Immediate global action
ENV-Linkages 3.0,EMF30_ClimPolicy+SLCF,P2c,P2: Other policies + Immediate global action
GCAM 4.2,EMF30_ClimPolicy+SLCF,P2c,P2: Other policies + Immediate global action
IMAGE 3.0.1,EMF30_ClimPolicy+SLCF,P2c,P2: Other policies + Immediate global action
MESSAGE-GLOBIOM 1.0,EMF30_ClimPolicy+SLCF,P2c,P2: Other policies + Immediate global action
POLES EMF30,EMF30_ClimPolicy+SLCF,P2c,P2: Other policies + Immediate global action
REMIND 1.6,EMF30_ClimPolicy+SLCF,P2c,P2: Other policies + Immediate global action
WITCH-GLOBIOM 4.2,EMF30_ClimPolicy+SLCF,P2c,P2: Other policies + Immediate global action
AIM/CGE 2.0,EMF30_D_BCOC-Red,P0,P0: Diagnostic
DNE21+ V.14E1,EMF30_D_BCOC-Red,P0,P0: Diagnostic
ENV-Linkages 3.0,EMF30_D_BCOC-Red,P0,P0: Diagnostic
IMAGE 3.0.1,EMF30_D_BCOC-Red,P0,P0: Diagnostic
MESSAGE-GLOBIOM 1.0,EMF30_D_BCOC-Red,P0,P0: Diagnostic
POLES EMF30,EMF30_D_BCOC-Red,P0,P0: Diagnostic
REMIND 1.6,EMF30_D_BCOC-Red,P0,P0: Diagnostic
WITCH-GLOBIOM 4.2,EMF30_D_BCOC-Red,P0,P0: Diagnostic
AIM/CGE 2.0,EMF30_D_CH4-ClimPolicy,P0,P0: Diagnostic
DNE21+ V.14E1,EMF30_D_CH4-ClimPolicy,P0,P0: Diagnostic
ENV-Linkages 3.0,EMF30_D_CH4-ClimPolicy,P0,P0: Diagnostic
GCAM 4.2,EMF30_D_CH4-ClimPolicy,P0,P0: Diagnostic
IMAGE 3.0.1,EMF30_D_CH4-ClimPolicy,P0,P0: Diagnostic
MESSAGE-GLOBIOM 1.0,EMF30_D_CH4-ClimPolicy,P0,P0: Diagnostic
POLES EMF30,EMF30_D_CH4-ClimPolicy,P0,P0: Diagnostic
REMIND 1.6,EMF30_D_CH4-ClimPolicy,P0,P0: Diagnostic
WITCH-GLOBIOM 4.2,EMF30_D_CH4-ClimPolicy,P0,P0: Diagnostic
AIM/CGE 2.0,EMF30_D_CO2-Only,P0,P0: Diagnostic
DNE21+ V.14E1,EMF30_D_CO2-Only,P0,P0: Diagnostic
ENV-Linkages 3.0,EMF30_D_CO2-Only,P0,P0: Diagnostic
GCAM 4.2,EMF30_D_CO2-Only,P0,P0: Diagnostic
IMAGE 3.0.1,EMF30_D_CO2-Only,P0,P0: Diagnostic
POLES EMF30,EMF30_D_CO2-Only,P0,P0: Diagnostic
REMIND 1.6,EMF30_D_CO2-Only,P0,P0: Diagnostic
WITCH-GLOBIOM 4.2,EMF30_D_CO2-Only,P0,P0: Diagnostic
AIM/CGE 2.0,EMF30_D_Frozen-CH4,P0,P0: Diagnostic
ENV-Linkages 3.0,EMF30_D_Frozen-CH4,P0,P0: Diagnostic
GCAM 4.2,EMF30_D_Frozen-CH4,P0,P0: Diagnostic
IMAGE 3.0.1,EMF30_D_Frozen-CH4,P0,P0: Diagnostic
MESSAGE-GLOBIOM 1.0,EMF30_D_Frozen-CH4,P0,P0: Diagnostic
POLES EMF30,EMF30_D_Frozen-CH4,P0,P0: Diagnostic
REMIND 1.6,EMF30_D_Frozen-CH4,P0,P0: Diagnostic
WITCH-GLOBIOM 4.2,EMF30_D_Frozen-CH4,P0,P0: Diagnostic
AIM/CGE 2.0,EMF30_D_Frozen-EF,P0,P0: Diagnostic
ENV-Linkages 3.0,EMF30_D_Frozen-EF,P0,P0: Diagnostic
GCAM 4.2,EMF30_D_Frozen-EF,P0,P0: Diagnostic
IMAGE 3.0.1,EMF30_D_Frozen-EF,P0,P0: Diagnostic
MESSAGE-GLOBIOM 1.0,EMF30_D_Frozen-EF,P0,P0: Diagnostic
POLES EMF30,EMF30_D_Frozen-EF,P0,P0: Diagnostic
REMIND 1.6,EMF30_D_Frozen-EF,P0,P0: Diagnostic
WITCH-GLOBIOM 4.2,EMF30_D_Frozen-EF,P0,P0: Diagnostic
AIM/CGE 2.0,EMF30_D_Frozen-EF-EndU,P0,P0: Diagnostic
DNE21+ V.14E1,EMF30_D_Frozen-EF-EndU,P0,P0: Diagnostic
ENV-Linkages 3.0,EMF30_D_Frozen-EF-EndU,P0,P0: Diagnostic
GCAM 4.2,EMF30_D_Frozen-EF-EndU,P0,P0: Diagnostic
IMAGE 3.0.1,EMF30_D_Frozen-EF-EndU,P0,P0: Diagnostic
MESSAGE-GLOBIOM 1.0,EMF30_D_Frozen-EF-EndU,P0,P0: Diagnostic
POLES EMF30,EMF30_D_Frozen-EF-EndU,P0,P0: Diagnostic
REMIND 1.6,EMF30_D_Frozen-EF-EndU,P0,P0: Diagnostic
WITCH-GLOBIOM 4.2,EMF30_D_Frozen-EF-EndU,P0,P0: Diagnostic
AIM/CGE 2.0,EMF30_D_Frozen-EF-SLCF,P0,P0: Diagnostic
ENV-Linkages 3.0,EMF30_D_Frozen-EF-SLCF,P0,P0: Diagnostic
GCAM 4.2,EMF30_D_Frozen-EF-SLCF,P0,P0: Diagnostic
IMAGE 3.0.1,EMF30_D_Frozen-EF-SLCF,P0,P0: Diagnostic
MESSAGE-GLOBIOM 1.0,EMF30_D_Frozen-EF-SLCF,P0,P0: Diagnostic
POLES EMF30,EMF30_D_Frozen-EF-SLCF,P0,P0: Diagnostic
REMIND 1.6,EMF30_D_Frozen-EF-SLCF,P0,P0: Diagnostic
WITCH-GLOBIOM 4.2,EMF30_D_Frozen-EF-SLCF,P0,P0: Diagnostic
AIM/CGE 2.0,EMF30_SLCF,P1d,P1d: Other policies
DNE21+ V.14E1,EMF30_SLCF,P1d,P1d: Other policies
ENV-Linkages 3.0,EMF30_SLCF,P1d,P1d: Other policies
GCAM 4.2,EMF30_SLCF,P1d,P1d: Other policies
IMAGE 3.0.1,EMF30_SLCF,P1d,P1d: Other policies
MESSAGE-GLOBIOM 1.0,EMF30_SLCF,P1d,P1d: Other policies
POLES EMF30,EMF30_SLCF,P1d,P1d: Other policies
REMIND 1.6,EMF30_SLCF,P1d,P1d: Other policies
WITCH-GLOBIOM 4.2,EMF30_SLCF,P1d,P1d: Other policies
AIM/CGE 2.0,EMF30_Slower-Action,P3a,P3a: Delayed global action
DNE21+ V.14E1,EMF30_Slower-Action,P3a,P3a: Delayed global action
ENV-Linkages 3.0,EMF30_Slower-Action,P3a,P3a: Delayed global action
IMAGE 3.0.1,EMF30_Slower-Action,P3a,P3a: Delayed global action
MESSAGE-GLOBIOM 1.0,EMF30_Slower-Action,P3a,P3a: Delayed global action
POLES EMF30,EMF30_Slower-Action,P3a,P3a: Delayed global action
REMIND 1.6,EMF30_Slower-Action,P3a,P3a: Delayed global action
WITCH-GLOBIOM 4.2,EMF30_Slower-Action,P3a,P3a: Delayed global action
AIM/CGE 2.0,EMF30_Slower-Action+SLCF,P3c,P3c: Other policies + Delayed global action
DNE21+ V.14E1,EMF30_Slower-Action+SLCF,P3c,P3c: Other policies + Delayed global action
ENV-Linkages 3.0,EMF30_Slower-Action+SLCF,P3c,P3c: Other policies + Delayed global action
IMAGE 3.0.1,EMF30_Slower-Action+SLCF,P3c,P3c: Other policies + Delayed global action
MESSAGE-GLOBIOM 1.0,EMF30_Slower-Action+SLCF,P3c,P3c: Other policies + Delayed global action
POLES EMF30,EMF30_Slower-Action+SLCF,P3c,P3c: Other policies + Delayed global action
REMIND 1.6,EMF30_Slower-Action+SLCF,P3c,P3c: Other policies + Delayed global action
WITCH-GLOBIOM 4.2,EMF30_Slower-Action+SLCF,P3c,P3c: Other policies + Delayed global action
AIM/CGE 2.0,EMF30_Slower-to-faster,P3a,P3a: Delayed global action
DNE21+ V.14E1,EMF30_Slower-to-faster,P3a,P3a: Delayed global action
IMAGE 3.0.1,EMF30_Slower-to-faster,P3a,P3a: Delayed global action
MESSAGE-GLOBIOM 1.0,EMF30_Slower-to-faster,P3a,P3a: Delayed global action
POLES EMF30,EMF30_Slower-to-faster,P3a,P3a: Delayed global action
REMIND 1.6,EMF30_Slower-to-faster,P3a,P3a: Delayed global action
WITCH-GLOBIOM 4.2,EMF30_Slower-to-faster,P3a,P3a: Delayed global action
AIM/CGE 2.0,EMF30_Slower-to-faster+SLCF,P3c,P3c: Other policies + Delayed global action
DNE21+ V.14E1,EMF30_Slower-to-faster+SLCF,P3c,P3c: Other policies + Delayed global action
IMAGE 3.0.1,EMF30_Slower-to-faster+SLCF,P3c,P3c: Other policies + Delayed global action
MESSAGE-GLOBIOM 1.0,EMF30_Slower-to-faster+SLCF,P3c,P3c: Other policies + Delayed global action
POLES EMF30,EMF30_Slower-to-faster+SLCF,P3c,P3c: Other policies + Delayed global action
REMIND 1.6,EMF30_Slower-to-faster+SLCF,P3c,P3c: Other policies + Delayed global action
WITCH-GLOBIOM 4.2,EMF30_Slower-to-faster+SLCF,P3c,P3c: Other policies + Delayed global action
AIM/CGE 2.0,EMF30_Slower-to-faster+SLCF+HFC,P3c,P3c: Other policies + Delayed global action
DNE21+ V.14E1,EMF30_Slower-to-faster+SLCF+HFC,P3c,P3c: Other policies + Delayed global action
IMAGE 3.0.1,EMF30_Slower-to-faster+SLCF+HFC,P3c,P3c: Other policies + Delayed global action
MESSAGE-GLOBIOM 1.0,EMF30_Slower-to-faster+SLCF+HFC,P3c,P3c: Other policies + Delayed global action
POLES EMF30,EMF30_Slower-to-faster+SLCF+HFC,P3c,P3c: Other policies + Delayed global action
REMIND 1.6,EMF30_Slower-to-faster+SLCF+HFC,P3c,P3c: Other policies + Delayed global action
WITCH-GLOBIOM 4.2,EMF30_Slower-to-faster+SLCF+HFC,P3c,P3c: Other policies + Delayed global action
BET EMF33,EMF33_1.5C_cost100,P2,P2: Immediate global action
DNE21+ V.14E2,EMF33_1.5C_cost100,P2,P2: Immediate global action
GRAPE-15 1.0,EMF33_1.5C_cost100,P2,P2: Immediate global action
MESSAGE-GLOBIOM 1.0,EMF33_1.5C_cost100,P2,P2: Immediate global action
POLES EMF33,EMF33_1.5C_cost100,P2,P2: Immediate global action
REMIND-MAgPIE 1.7-3.0,EMF33_1.5C_cost100,P2,P2: Immediate global action
BET EMF33,EMF33_1.5C_full,P2,P2: Immediate global action
DNE21+ V.14E2,EMF33_1.5C_full,P2,P2: Immediate global action
GRAPE-15 1.0,EMF33_1.5C_full,P2,P2: Immediate global action
MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,P2,P2: Immediate global action
POLES EMF33,EMF33_1.5C_full,P2,P2: Immediate global action
REMIND-MAgPIE 1.7-3.0,EMF33_1.5C_full,P2,P2: Immediate global action
DNE21+ V.14E2,EMF33_1.5C_limbio,P2,P2: Immediate global action
POLES EMF33,EMF33_1.5C_limbio,P2,P2: Immediate global action
BET EMF33,EMF33_1.5C_nofuel,P2,P2: Immediate global action
DNE21+ V.14E2,EMF33_1.5C_nofuel,P2,P2: Immediate global action
GRAPE-15 1.0,EMF33_1.5C_nofuel,P2,P2: Immediate global action
POLES EMF33,EMF33_1.5C_nofuel,P2,P2: Immediate global action
REMIND-MAgPIE 1.7-3.0,EMF33_1.5C_nofuel,P2,P2: Immediate global action
AIM/CGE 2.1,EMF33_Baseline,P1a,P1a: Baseline
BET EMF33,EMF33_Baseline,P1a,P1a: Baseline
DNE21+ V.14E2,EMF33_Baseline,P1a,P1a: Baseline
FARM 3.2,EMF33_Baseline,P1a,P1a: Baseline
GCAM 4.2,EMF33_Baseline,P1a,P1a: Baseline
GRAPE-15 1.0,EMF33_Baseline,P1a,P1a: Baseline
IMAGE 3.0.2,EMF33_Baseline,P1a,P1a: Baseline
MESSAGE-GLOBIOM 1.0,EMF33_Baseline,P1a,P1a: Baseline
POLES EMF33,EMF33_Baseline,P1a,P1a: Baseline
REMIND-MAgPIE 1.7-3.0,EMF33_Baseline,P1a,P1a: Baseline
AIM/CGE 2.1,EMF33_Med2C_cost100,P2,P2: Immediate global action
BET EMF33,EMF33_Med2C_cost100,P2,P2: Immediate global action
DNE21+ V.14E2,EMF33_Med2C_cost100,P2,P2: Immediate global action
GCAM 4.2,EMF33_Med2C_cost100,P2,P2: Immediate global action
GRAPE-15 1.0,EMF33_Med2C_cost100,P2,P2: Immediate global action
IMACLIM-NLU 1.0,EMF33_Med2C_cost100,P2,P2: Immediate global action
IMAGE 3.0.2,EMF33_Med2C_cost100,P2,P2: Immediate global action
MESSAGE-GLOBIOM 1.0,EMF33_Med2C_cost100,P2,P2: Immediate global action
POLES EMF33,EMF33_Med2C_cost100,P2,P2: Immediate global action
REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_cost100,P2,P2: Immediate global action
AIM/CGE 2.1,EMF33_Med2C_full,P2,P2: Immediate global action
BET EMF33,EMF33_Med2C_full,P2,P2: Immediate global action
DNE21+ V.14E2,EMF33_Med2C_full,P2,P2: Immediate global action
FARM 3.2,EMF33_Med2C_full,P2,P2: Immediate global action
GCAM 4.2,EMF33_Med2C_full,P2,P2: Immediate global action
GRAPE-15 1.0,EMF33_Med2C_full,P2,P2: Immediate global action
IMACLIM-NLU 1.0,EMF33_Med2C_full,P2,P2: Immediate global action
IMAGE 3.0.2,EMF33_Med2C_full,P2,P2: Immediate global action
MESSAGE-GLOBIOM 1.0,EMF33_Med2C_full,P2,P2: Immediate global action
POLES EMF33,EMF33_Med2C_full,P2,P2: Immediate global action
REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_full,P2,P2: Immediate global action
BET EMF33,EMF33_Med2C_limbio,P2,P2: Immediate global action
DNE21+ V.14E2,EMF33_Med2C_limbio,P2,P2: Immediate global action
GCAM 4.2,EMF33_Med2C_limbio,P2,P2: Immediate global action
GRAPE-15 1.0,EMF33_Med2C_limbio,P2,P2: Immediate global action
IMACLIM-NLU 1.0,EMF33_Med2C_limbio,P2,P2: Immediate global action
IMAGE 3.0.2,EMF33_Med2C_limbio,P2,P2: Immediate global action
MESSAGE-GLOBIOM 1.0,EMF33_Med2C_limbio,P2,P2: Immediate global action
POLES EMF33,EMF33_Med2C_limbio,P2,P2: Immediate global action
REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_limbio,P2,P2: Immediate global action
AIM/CGE 2.1,EMF33_Med2C_nobeccs,P2,P2: Immediate global action
DNE21+ V.14E2,EMF33_Med2C_nobeccs,P2,P2: Immediate global action
FARM 3.2,EMF33_Med2C_nobeccs,P2,P2: Immediate global action
GCAM 4.2,EMF33_Med2C_nobeccs,P2,P2: Immediate global action
GRAPE-15 1.0,EMF33_Med2C_nobeccs,P2,P2: Immediate global action
IMACLIM-NLU 1.0,EMF33_Med2C_nobeccs,P2,P2: Immediate global action
IMAGE 3.0.2,EMF33_Med2C_nobeccs,P2,P2: Immediate global action
MESSAGE-GLOBIOM 1.0,EMF33_Med2C_nobeccs,P2,P2: Immediate global action
POLES EMF33,EMF33_Med2C_nobeccs,P2,P2: Immediate global action
REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_nobeccs,P2,P2: Immediate global action
AIM/CGE 2.1,EMF33_Med2C_nofuel,P2,P2: Immediate global action
BET EMF33,EMF33_Med2C_nofuel,P2,P2: Immediate global action
DNE21+ V.14E2,EMF33_Med2C_nofuel,P2,P2: Immediate global action
FARM 3.2,EMF33_Med2C_nofuel,P2,P2: Immediate global action
GCAM 4.2,EMF33_Med2C_nofuel,P2,P2: Immediate global action
GRAPE-15 1.0,EMF33_Med2C_nofuel,P2,P2: Immediate global action
IMACLIM-NLU 1.0,EMF33_Med2C_nofuel,P2,P2: Immediate global action
IMAGE 3.0.2,EMF33_Med2C_nofuel,P2,P2: Immediate global action
MESSAGE-GLOBIOM 1.0,EMF33_Med2C_nofuel,P2,P2: Immediate global action
POLES EMF33,EMF33_Med2C_nofuel,P2,P2: Immediate global action
REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_nofuel,P2,P2: Immediate global action
AIM/CGE 2.1,EMF33_Med2C_none,P2,P2: Immediate global action
DNE21+ V.14E2,EMF33_Med2C_none,P2,P2: Immediate global action
FARM 3.2,EMF33_Med2C_none,P2,P2: Immediate global action
GCAM 4.2,EMF33_Med2C_none,P2,P2: Immediate global action
GRAPE-15 1.0,EMF33_Med2C_none,P2,P2: Immediate global action
IMAGE 3.0.2,EMF33_Med2C_none,P2,P2: Immediate global action
MESSAGE-GLOBIOM 1.0,EMF33_Med2C_none,P2,P2: Immediate global action
POLES EMF33,EMF33_Med2C_none,P2,P2: Immediate global action
REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_none,P2,P2: Immediate global action
AIM/CGE 2.1,EMF33_WB2C_cost100,P2,P2: Immediate global action
BET EMF33,EMF33_WB2C_cost100,P2,P2: Immediate global action
DNE21+ V.14E2,EMF33_WB2C_cost100,P2,P2: Immediate global action
GRAPE-15 1.0,EMF33_WB2C_cost100,P2,P2: Immediate global action
IMAGE 3.0.2,EMF33_WB2C_cost100,P2,P2: Immediate global action
MESSAGE-GLOBIOM 1.0,EMF33_WB2C_cost100,P2,P2: Immediate global action
POLES EMF33,EMF33_WB2C_cost100,P2,P2: Immediate global action
REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_cost100,P2,P2: Immediate global action
AIM/CGE 2.1,EMF33_WB2C_full,P2,P2: Immediate global action
BET EMF33,EMF33_WB2C_full,P2,P2: Immediate global action
DNE21+ V.14E2,EMF33_WB2C_full,P2,P2: Immediate global action
FARM 3.2,EMF33_WB2C_full,P2,P2: Immediate global action
GCAM 4.2,EMF33_WB2C_full,P2,P2: Immediate global action
GRAPE-15 1.0,EMF33_WB2C_full,P2,P2: Immediate global action
IMACLIM-NLU 1.0,EMF33_WB2C_full,P2,P2: Immediate global action
IMAGE 3.0.2,EMF33_WB2C_full,P2,P2: Immediate global action
MESSAGE-GLOBIOM 1.0,EMF33_WB2C_full,P2,P2: Immediate global action
POLES EMF33,EMF33_WB2C_full,P2,P2: Immediate global action
REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_full,P2,P2: Immediate global action
BET EMF33,EMF33_WB2C_limbio,P2,P2: Immediate global action
DNE21+ V.14E2,EMF33_WB2C_limbio,P2,P2: Immediate global action
GCAM 4.2,EMF33_WB2C_limbio,P2,P2: Immediate global action
GRAPE-15 1.0,EMF33_WB2C_limbio,P2,P2: Immediate global action
IMAGE 3.0.2,EMF33_WB2C_limbio,P2,P2: Immediate global action
MESSAGE-GLOBIOM 1.0,EMF33_WB2C_limbio,P2,P2: Immediate global action
POLES EMF33,EMF33_WB2C_limbio,P2,P2: Immediate global action
REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_limbio,P2,P2: Immediate global action
DNE21+ V.14E2,EMF33_WB2C_nobeccs,P2,P2: Immediate global action
FARM 3.2,EMF33_WB2C_nobeccs,P2,P2: Immediate global action
GCAM 4.2,EMF33_WB2C_nobeccs,P2,P2: Immediate global action
IMAGE 3.0.2,EMF33_WB2C_nobeccs,P2,P2: Immediate global action
POLES EMF33,EMF33_WB2C_nobeccs,P2,P2: Immediate global action
REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_nobeccs,P2,P2: Immediate global action
BET EMF33,EMF33_WB2C_nofuel,P2,P2: Immediate global action
DNE21+ V.14E2,EMF33_WB2C_nofuel,P2,P2: Immediate global action
FARM 3.2,EMF33_WB2C_nofuel,P2,P2: Immediate global action
GCAM 4.2,EMF33_WB2C_nofuel,P2,P2: Immediate global action
GRAPE-15 1.0,EMF33_WB2C_nofuel,P2,P2: Immediate global action
IMACLIM-NLU 1.0,EMF33_WB2C_nofuel,P2,P2: Immediate global action
IMAGE 3.0.2,EMF33_WB2C_nofuel,P2,P2: Immediate global action
MESSAGE-GLOBIOM 1.0,EMF33_WB2C_nofuel,P2,P2: Immediate global action
POLES EMF33,EMF33_WB2C_nofuel,P2,P2: Immediate global action
REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_nofuel,P2,P2: Immediate global action
DNE21+ V.14E2,EMF33_WB2C_none,P2,P2: Immediate global action
FARM 3.2,EMF33_WB2C_none,P2,P2: Immediate global action
GCAM 4.2,EMF33_WB2C_none,P2,P2: Immediate global action
POLES EMF33,EMF33_WB2C_none,P2,P2: Immediate global action
REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_none,P2,P2: Immediate global action
AIM/CGE 2.1,EMF33_tax_hi_full,P2,P2: Immediate global action
BET EMF33,EMF33_tax_hi_full,P2,P2: Immediate global action
DNE21+ V.14E2,EMF33_tax_hi_full,P2,P2: Immediate global action
FARM 3.2,EMF33_tax_hi_full,P2,P2: Immediate global action
GCAM 4.2,EMF33_tax_hi_full,P2,P2: Immediate global action
GRAPE-15 1.0,EMF33_tax_hi_full,P2,P2: Immediate global action
IMACLIM-NLU 1.0,EMF33_tax_hi_full,P2,P2: Immediate global action
