"Model","Scenario","scenario_family","economic_baseline","type"
"REMIND 1.7","CEMICS-2.0-CDR8","CEMICS","CEMICS-Ref","mitigation"
"REMIND 1.7","CEMICS-Ref","CEMICS","CEMICS-Ref","baseline"
"REMIND-MAgPIE 1.5","SSP1-19","SSP1","SSP1-Baseline","mitigation"
"REMIND-MAgPIE 1.5","SSP1-26","SSP1","SSP1-Baseline","mitigation"
"REMIND-MAgPIE 1.5","SSP1-34","SSP1","SSP1-Baseline","mitigation"
"REMIND-MAgPIE 1.5","SSP1-45","SSP1","SSP1-Baseline","mitigation"
"REMIND-MAgPIE 1.5","SSP1-Baseline","SSP1","SSP1-Baseline","baseline"
"REMIND-MAgPIE 1.5","SSP2-19","SSP2","SSP2-Baseline","mitigation"
"REMIND-MAgPIE 1.5","SSP2-26","SSP2","SSP2-Baseline","mitigation"
"REMIND-MAgPIE 1.5","SSP2-34","SSP2","SSP2-Baseline","mitigation"
"REMIND-MAgPIE 1.5","SSP2-45","SSP2","SSP2-Baseline","mitigation"
"REMIND-MAgPIE 1.5","SSP2-60","SSP2","SSP2-Baseline","mitigation"
"REMIND-MAgPIE 1.5","SSP2-Baseline","SSP2","SSP2-Baseline","baseline"
"REMIND-MAgPIE 1.5","SSP5-19","SSP5","SSP5-Baseline","mitigation"
"REMIND-MAgPIE 1.5","SSP5-26","SSP5","SSP5-Baseline","mitigation"
"REMIND-MAgPIE 1.5","SSP5-34","SSP5","SSP5-Baseline","mitigation"
"REMIND-MAgPIE 1.5","SSP5-45","SSP5","SSP5-Baseline","mitigation"
"REMIND-MAgPIE 1.5","SSP5-60","SSP5","SSP5-Baseline","mitigation"
"REMIND-MAgPIE 1.5","SSP5-Baseline","SSP5","SSP5-Baseline","baseline"
"REMIND-MAgPIE 1.7-3.0","CD-LINKS_INDCi","CD-LINKS","CD-LINKS_NPi","mitigation"
"REMIND-MAgPIE 1.7-3.0","CD-LINKS_NPi","CD-LINKS","CD-LINKS_NPi","baseline"
"REMIND-MAgPIE 1.7-3.0","CD-LINKS_NPi2020_1000","CD-LINKS","CD-LINKS_NPi","mitigation"
"REMIND-MAgPIE 1.7-3.0","CD-LINKS_NPi2020_1600","CD-LINKS","CD-LINKS_NPi","mitigation"
"REMIND-MAgPIE 1.7-3.0","CD-LINKS_NPi2020_400","CD-LINKS","CD-LINKS_NPi","mitigation"
"REMIND-MAgPIE 1.7-3.0","CD-LINKS_NoPolicy","CD-LINKS","CD-LINKS_NPi","baseline"
"REMIND-MAgPIE 1.7-3.0","EMF33_1.5C_cost100","EMF33","EMF33_Baseline","mitigation"
"REMIND-MAgPIE 1.7-3.0","EMF33_1.5C_full","EMF33","EMF33_Baseline","mitigation"
"REMIND-MAgPIE 1.7-3.0","EMF33_1.5C_nofuel","EMF33","EMF33_Baseline","mitigation"
"REMIND-MAgPIE 1.7-3.0","EMF33_Baseline","EMF33","EMF33_Baseline","baseline"
"REMIND-MAgPIE 1.7-3.0","EMF33_Med2C_cost100","EMF33","EMF33_Baseline","mitigation"
"REMIND-MAgPIE 1.7-3.0","EMF33_Med2C_full","EMF33","EMF33_Baseline","mitigation"
"REMIND-MAgPIE 1.7-3.0","EMF33_Med2C_limbio","EMF33","EMF33_Baseline","mitigation"
"REMIND-MAgPIE 1.7-3.0","EMF33_Med2C_nobeccs","EMF33","EMF33_Baseline","mitigation"
"REMIND-MAgPIE 1.7-3.0","EMF33_Med2C_nofuel","EMF33","EMF33_Baseline","mitigation"
"REMIND-MAgPIE 1.7-3.0","EMF33_Med2C_none","EMF33","EMF33_Baseline","mitigation"
"REMIND-MAgPIE 1.7-3.0","EMF33_WB2C_cost100","EMF33","EMF33_Baseline","mitigation"
"REMIND-MAgPIE 1.7-3.0","EMF33_WB2C_full","EMF33","EMF33_Baseline","mitigation"
"REMIND-MAgPIE 1.7-3.0","EMF33_WB2C_limbio","EMF33","EMF33_Baseline","mitigation"
"REMIND-MAgPIE 1.7-3.0","EMF33_WB2C_nobeccs","EMF33","EMF33_Baseline","mitigation"
"REMIND-MAgPIE 1.7-3.0","EMF33_WB2C_nofuel","EMF33","EMF33_Baseline","mitigation"
"REMIND-MAgPIE 1.7-3.0","EMF33_WB2C_none","EMF33","EMF33_Baseline","mitigation"
"REMIND-MAgPIE 1.7-3.0","EMF33_tax_hi_full","EMF33","EMF33_Baseline","mitigation"
"REMIND-MAgPIE 1.7-3.0","EMF33_tax_hi_none","EMF33","EMF33_Baseline","mitigation"
"REMIND-MAgPIE 1.7-3.0","EMF33_tax_lo_full","EMF33","EMF33_Baseline","mitigation"
"REMIND-MAgPIE 1.7-3.0","EMF33_tax_lo_none","EMF33","EMF33_Baseline","mitigation"
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_NDC","PEP","PEP_NPi","mitigation"
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_eff","PEP","PEP_NPi","mitigation"
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_goodpractice","PEP","PEP_NPi","mitigation"
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_netzero","PEP","PEP_NPi","mitigation"
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_red_eff","PEP","PEP_NPi","mitigation"
"REMIND-MAgPIE 1.7-3.0","PEP_2C_full_NDC","PEP","PEP_NPi","mitigation"
"REMIND-MAgPIE 1.7-3.0","PEP_2C_full_eff","PEP","PEP_NPi","mitigation"
"REMIND-MAgPIE 1.7-3.0","PEP_2C_full_goodpractice","PEP","PEP_NPi","mitigation"
"REMIND-MAgPIE 1.7-3.0","PEP_2C_full_netzero","PEP","PEP_NPi","mitigation"
"REMIND-MAgPIE 1.7-3.0","PEP_2C_red_NDC","PEP","PEP_NPi","mitigation"
"REMIND-MAgPIE 1.7-3.0","PEP_2C_red_eff","PEP","PEP_NPi","mitigation"
"REMIND-MAgPIE 1.7-3.0","PEP_2C_red_goodpractice","PEP","PEP_NPi","mitigation"
"REMIND-MAgPIE 1.7-3.0","PEP_2C_red_netzero","PEP","PEP_NPi","mitigation"
"REMIND-MAgPIE 1.7-3.0","SMP_1p5C_Def","SMP","SMP_REF_Def","mitigation"
"REMIND-MAgPIE 1.7-3.0","SMP_1p5C_Sust","SMP","SMP_REF_Def","mitigation"
"REMIND-MAgPIE 1.7-3.0","SMP_1p5C_early","SMP","SMP_REF_Def","mitigation"
"REMIND-MAgPIE 1.7-3.0","SMP_1p5C_lifesty","SMP","SMP_REF_Def","mitigation"
"REMIND-MAgPIE 1.7-3.0","SMP_1p5C_regul","SMP","SMP_REF_Def","mitigation"
"REMIND-MAgPIE 1.7-3.0","SMP_2C_Def","SMP","SMP_REF_Def","mitigation"
"REMIND-MAgPIE 1.7-3.0","SMP_2C_Sust","SMP","SMP_REF_Def","mitigation"
"REMIND-MAgPIE 1.7-3.0","SMP_2C_early","SMP","SMP_REF_Def","mitigation"
"REMIND-MAgPIE 1.7-3.0","SMP_2C_lifesty","SMP","SMP_REF_Def","mitigation"
"REMIND-MAgPIE 1.7-3.0","SMP_2C_regul","SMP","SMP_REF_Def","mitigation"
"REMIND-MAgPIE 1.7-3.0","SMP_REF_Def","SMP","SMP_REF_Def","baseline"
"REMIND-MAgPIE 1.7-3.0","SMP_REF_Sust","SMP","SMP_REF_Def","baseline"
"WITCH-GLOBIOM 3.1","SSP1-19","SSP1","SSP1-Baseline","mitigation"
"WITCH-GLOBIOM 3.1","SSP1-26","SSP1","SSP1-Baseline","mitigation"
"WITCH-GLOBIOM 3.1","SSP1-34","SSP1","SSP1-Baseline","mitigation"
"WITCH-GLOBIOM 3.1","SSP1-45","SSP1","SSP1-Baseline","mitigation"
"WITCH-GLOBIOM 3.1","SSP1-Baseline","SSP1","SSP1-Baseline","baseline"
"WITCH-GLOBIOM 3.1","SSP2-26","SSP2","SSP2-Baseline","mitigation"
"WITCH-GLOBIOM 3.1","SSP2-34","SSP2","SSP2-Baseline","mitigation"
"WITCH-GLOBIOM 3.1","SSP2-45","SSP2","SSP2-Baseline","mitigation"
"WITCH-GLOBIOM 3.1","SSP2-60","SSP2","SSP2-Baseline","mitigation"
"WITCH-GLOBIOM 3.1","SSP2-Baseline","SSP2","SSP2-Baseline","baseline"
"WITCH-GLOBIOM 3.1","SSP3-34","SSP3","SSP3-Baseline","mitigation"
"WITCH-GLOBIOM 3.1","SSP3-45","SSP3","SSP3-Baseline","mitigation"
"WITCH-GLOBIOM 3.1","SSP3-60","SSP3","SSP3-Baseline","mitigation"
"WITCH-GLOBIOM 3.1","SSP3-Baseline","SSP3","SSP3-Baseline","baseline"
"WITCH-GLOBIOM 3.1","SSP4-19","SSP4","SSP4-Baseline","mitigation"
"WITCH-GLOBIOM 3.1","SSP4-26","SSP4","SSP4-Baseline","mitigation"
"WITCH-GLOBIOM 3.1","SSP4-34","SSP4","SSP4-Baseline","mitigation"
"WITCH-GLOBIOM 3.1","SSP4-45","SSP4","SSP4-Baseline","mitigation"
"WITCH-GLOBIOM 3.1","SSP4-60","SSP4","SSP4-Baseline","mitigation"
"WITCH-GLOBIOM 3.1","SSP4-Baseline","SSP4","SSP4-Baseline","baseline"
"WITCH-GLOBIOM 3.1","SSP5-34","SSP5","SSP5-Baseline","mitigation"
"WITCH-GLOBIOM 3.1","SSP5-45","SSP5","SSP5-Baseline","mitigation"
"WITCH-GLOBIOM 3.1","SSP5-60","SSP5","SSP5-Baseline","mitigation"
"WITCH-GLOBIOM 3.1","SSP5-Baseline","SSP5","SSP5-Baseline","baseline"
"WITCH-GLOBIOM 4.2","ADVANCE_2020_1.5C-2100","ADVANCE","ADVANCE_Reference","mitigation"
"WITCH-GLOBIOM 4.2","ADVANCE_2020_Med2C","ADVANCE","ADVANCE_Reference","mitigation"
"WITCH-GLOBIOM 4.2","ADVANCE_2020_WB2C","ADVANCE","ADVANCE_Reference","mitigation"
"WITCH-GLOBIOM 4.2","ADVANCE_2030_Med2C","ADVANCE","ADVANCE_Reference","mitigation"
"WITCH-GLOBIOM 4.2","ADVANCE_2030_Price1.5C","ADVANCE","ADVANCE_Reference","mitigation"
"WITCH-GLOBIOM 4.2","ADVANCE_2030_WB2C","ADVANCE","ADVANCE_Reference","mitigation"
"WITCH-GLOBIOM 4.2","ADVANCE_INDC","ADVANCE","ADVANCE_Reference","mitigation"
"WITCH-GLOBIOM 4.2","ADVANCE_NoPolicy","ADVANCE","ADVANCE_Reference","baseline"
"WITCH-GLOBIOM 4.2","ADVANCE_Reference","ADVANCE","ADVANCE_Reference","baseline"
"WITCH-GLOBIOM 4.4","CD-LINKS_INDCi","CD-LINKS","CD-LINKS_NPi","mitigation"
"WITCH-GLOBIOM 4.4","CD-LINKS_NPi","CD-LINKS","CD-LINKS_NPi","baseline"
"WITCH-GLOBIOM 4.4","CD-LINKS_NPi2020_1000","CD-LINKS","CD-LINKS_NPi","mitigation"
"WITCH-GLOBIOM 4.4","CD-LINKS_NPi2020_1600","CD-LINKS","CD-LINKS_NPi","mitigation"
"WITCH-GLOBIOM 4.4","CD-LINKS_NPi2020_400","CD-LINKS","CD-LINKS_NPi","mitigation"
"WITCH-GLOBIOM 4.4","CD-LINKS_NoPolicy","CD-LINKS","CD-LINKS_NPi","baseline"
"AIM/CGE 2.1","TERL_15D_LowCarbonTransportPolicy","Other","TERL_Baseline_LowCarbonTransportPolicy","mitigation"
"AIM/CGE 2.1","TERL_15D_NoTransportPolicy","Other","TERL_Baseline_NoTransportPolicy","mitigation"
"AIM/CGE 2.1","TERL_2D_LowCarbonTransportPolicy","Other","TERL_Baseline_LowCarbonTransportPolicy","mitigation"
"AIM/CGE 2.1","TERL_2D_NoTransportPolicy","Other","TERL_Baseline_NoTransportPolicy","mitigation"
"AIM/CGE 2.1","TERL_Baseline_LowCarbonTransportPolicy","Other","TERL_Baseline_LowCarbonTransportPolicy","baseline"
"AIM/CGE 2.1","TERL_Baseline_NoTransportPolicy","Other","TERL_Baseline_NoTransportPolicy","baseline"
"C-ROADS-5.005","Ratchet-1.5-allCDR","Other","Reference","mitigation"
"C-ROADS-5.005","Ratchet-1.5-limCDR","Other","Reference","mitigation"
"C-ROADS-5.005","Ratchet-1.5-limCDR-noOS","Other","Reference","mitigation"
"C-ROADS-5.005","Ratchet-1.5-noCDR","Other","Reference","mitigation"
"C-ROADS-5.005","Ratchet-1.5-noCDR-noOS","Other","Reference","mitigation"
"C-ROADS-5.005","Reference","Other","Reference","baseline"
"GENeSYS-MOD 1.0","1.0","Other",NA,"mitigation"
"IEA Energy Technology Perspective Model 2017","B2DS","Other",NA,"mitigation"
"IEA World Energy Model 2017","Faster Transition Scenario","Other",NA,"mitigation"
"MERGE-ETL 6.0","BAU","Other","BAU","baseline"
"MERGE-ETL 6.0","DAC15_50","Other","BAU","mitigation"
"MERGE-ETL 6.0","DAC2_66","Other","BAU","mitigation"
"MESSAGEix-GLOBIOM 1.0","LowEnergyDemand","Other",NA,"mitigation"
"Shell World Energy Model 2018","Sky","Other",NA,"mitigation"
